Torque (Nm),Voltage,Current,Gen RPM,Time (Seconds),Input Power,Output Power,Efficiency,Resistance
2.5,13.03,1.32,504.3045061904703,6.958926200866699,26.405299893381994,17.1996,65.1369235321988,9.871212121212121
2.62,12.99,1.34,501.964064291593,9.257610082626343,27.544326973420684,17.4066,63.19486410685135,9.694029850746269
2.68,12.88,1.45,501.4807453105565,11.546239137649536,28.14798451792875,18.676000000000002,66.34933306896058,8.882758620689655
2.78,12.86,1.49,501.23097230835987,13.833971500396729,29.183739630786214,19.1614,65.65779520519862,8.630872483221475
2.87,12.79,1.49,500.0788918539627,16.12169122695923,30.059286450778256,19.0571,63.39837783975939,8.583892617449663
2.85,12.64,1.54,498.8746308413434,18.39086079597473,29.77793147859226,19.465600000000002,65.36921482942518,8.207792207792208
2.96,12.63,1.59,504.5509472460308,20.66614532470703,31.279152951077513,20.0817,64.20154673436647,7.943396226415095
3.03,12.6,1.64,500.03351358773773,22.94763422012329,31.732185776232434,20.663999999999998,65.12000196178556,7.682926829268293
3.08,12.42,1.68,497.49713167335733,25.253417253494263,32.09220401861736,20.8656,65.01765970294664,7.392857142857143
3.16,12.51,1.7,499.77769334615977,27.61286425590515,33.07670178333589,21.267,64.2960115531058,7.358823529411765
3.22,12.42,1.75,493.39008338596443,29.957136631011963,33.27396342431819,21.735,65.32134366690754,7.097142857142857
3.26,12.37,1.81,495.38079221680573,32.26182532310486,33.82322465497658,22.389699999999998,66.1962312239371,6.834254143646408
3.33,12.3,1.82,498.5024213466518,34.56236815452576,34.7672029257011,22.386000000000003,64.38826858703526,6.758241758241758
3.37,12.24,1.88,498.8296238223701,36.842607259750366,35.20792128091255,23.0112,65.35801934002613,6.510638297872341
3.45,12.22,1.91,498.49834945581824,39.1772575378418,36.01978088233879,23.3402,64.79828424343403,6.397905759162304
3.47,12.13,1.96,493.93176765471037,41.63877606391907,35.89671282502584,23.774800000000003,66.23113407594555,6.188775510204082
3.57,12.07,1.96,495.7812670601512,43.992716550827026,37.06948700464731,23.6572,63.81852545473359,6.158163265306123
3.62,12.04,2.03,498.67455508096884,46.46019124984741,37.808028024656615,24.441199999999995,64.64552973791862,5.931034482758621
3.68,11.98,2.05,499.7153314355429,48.75309944152832,38.514896881008546,24.558999999999997,63.76493769637972,5.843902439024391
3.73,11.88,2.09,500.15926321906903,51.01029014587402,39.0728774481117,24.8292,63.54587023434062,5.68421052631579
3.77,11.84,2.13,498.9995040113317,53.31088924407959,39.400316542081576,25.219199999999997,64.00760758626035,5.55868544600939
3.83,11.85,2.19,498.99095366713055,55.58334732055664,40.02669141468128,25.9515,64.83548622877512,5.410958904109589
3.87,11.73,2.18,502.4994322491739,57.89823913574219,40.7290975370798,25.571400000000004,62.784106563421346,5.3807339449541285
3.92,11.58,2.27,499.2190815270407,60.237735748291016,40.98599575594253,26.2866,64.13556512455531,5.101321585903084
3.97,11.63,2.27,501.4579442412561,62.60680174827576,41.69493196202723,26.400100000000002,63.31728763592498,5.1233480176211454
4.04,11.49,2.32,499.32029738323763,64.907390832901,42.2492333223138,26.656799999999997,63.09416267187336,4.9525862068965525
4.15,11.45,2.36,499.3473845553879,67.27825903892517,43.401938079054986,27.022,62.2598925208834,4.851694915254237
4.16,11.53,2.4,502.72559816806074,69.53092217445374,43.80085387804666,27.671999999999997,63.17685056333896,4.804166666666666
4.22,11.4,2.44,498.335391870373,71.95598936080933,44.04457560938873,27.816,63.15420143149392,4.672131147540984
4.29,11.3,2.5,499.9244880312338,74.35810780525208,44.91795228932565,28.25,62.89244847591452,4.5200000000000005
4.33,11.31,2.53,501.6975228608934,76.72108197212219,45.497559315046125,28.6143,62.89194504228538,4.470355731225297
4.36,11.22,2.55,500.62549275298863,79.01362204551697,45.71489188100984,28.611,62.58573261962614,4.4
4.44,11.27,2.59,499.65338428665984,81.3686773777008,46.46329983601739,29.189299999999996,62.822270701860596,4.351351351351352
4.53,11.16,2.62,501.587890431745,83.67463207244873,47.58866172118427,29.2392,61.44152607465332,4.259541984732825
4.55,11.11,2.67,501.7548610756746,86.04813599586487,47.8146776382041,29.6637,62.038899905284715,4.1610486891385765
4.59,11.08,2.69,497.82037340627227,88.43510746955872,47.856793710815964,29.8052,62.2799767575399,4.118959107806692
4.69,11.02,2.74,499.5998263757431,90.85961270332336,49.074215793135224,30.1948,61.528848728386244,4.021897810218977
4.74,11.03,2.78,503.6864142657757,93.36302495002747,50.00308798930569,30.663399999999996,61.323012703851546,3.9676258992805757
4.79,10.88,2.82,499.71749978581647,95.7256863117218,50.132379504857795,30.6816,61.2011644031917,3.858156028368795
4.84,10.83,2.88,501.9090420253554,98.16120910644531,50.87783565538901,31.1904,61.30449457650287,3.760416666666667
4.91,10.75,2.92,500.7823379362683,100.4661967754364,51.497807830217724,31.39,60.95405090540781,3.6815068493150687
4.94,10.77,2.96,499.7081632339843,102.8429741859436,51.701321017061396,31.879199999999997,61.660320032209405,3.6385135135135136
5.02,10.66,2.98,501.9235146789717,105.18387079238892,52.77150820194106,31.7668,60.19687722101439,3.5771812080536916
5.07,10.62,3.02,499.77147858412695,107.58379650115967,53.06860528389263,32.072399999999995,60.43573187655377,3.516556291390728
5.15,10.63,3.02,499.6202027925346,110.00849270820618,53.88966292925762,32.1026,59.57097939569957,3.5198675496688745
5.2,10.51,3.12,500.32426749852436,112.45056176185608,54.489542138397226,32.7912,60.17888701783196,3.3685897435897436
5.24,10.5,3.15,501.9745234999476,114.94179511070251,55.089801805324875,33.074999999999996,60.038335437981246,3.3333333333333335
5.29,10.43,3.21,498.76862926842796,117.28868865966797,55.260275907625264,33.4803,60.58655960380413,3.249221183800623
5.37,10.33,3.23,501.3121323507246,119.78000116348267,56.38203511100732,33.3659,59.17824699712917,3.198142414860681
5.43,10.31,3.28,503.31972238198216,122.17523050308228,57.240316280296014,33.8168,59.07863931849175,3.1432926829268295
5.5,10.25,3.37,498.3530606097568,124.548184633255,57.40610302830355,34.542500000000004,60.17217365019385,3.0415430267062313
5.56,10.19,3.4,495.826391066976,126.95863747596741,57.73812512954188,34.646,60.00541223371535,2.9970588235294118
5.62,10.17,3.42,507.10516947117804,129.37758231163025,59.688765966648965,34.7814,58.2712666893366,2.973684210526316
5.7,10.15,3.45,500.6331723101718,131.79446744918823,59.76579837632069,35.017500000000005,58.591202579624536,2.942028985507246
5.74,10.08,3.49,500.79582413170044,134.22894835472107,60.204761193257575,35.1792,58.43258789296514,2.8882521489971347
5.8,10.05,3.55,500.8329551036695,136.64162802696228,60.83858973239997,35.6775,58.64287807611643,2.830985915492958
5.86,10.01,3.6,501.7581196441276,139.05920243263245,61.58150123869186,36.036,58.51757309443192,2.7805555555555554
5.93,9.88,3.62,500.8614712361239,141.4837348461151,62.20575492843145,35.765600000000006,57.495644962670745,2.729281767955801
5.99,9.92,3.7,500.7749370203782,143.8229808807373,62.8242994067944,36.704,58.423253974290226,2.681081081081081
6.05,9.8,3.71,499.60196973095293,146.102041721344,63.30496360084492,36.358000000000004,57.43309518231007,2.6415094339622645
6.08,9.77,3.76,500.7159151861358,148.38363814353943,63.7607213393123,36.7352,57.61415371151165,2.598404255319149
6.17,9.7,3.79,501.981260982981,150.6454758644104,64.86806093864466,36.763,56.673499204442415,2.559366754617414
6.22,9.67,3.82,500.520269121065,152.9387948513031,65.20340878338166,36.9394,56.652559565896055,2.531413612565445
6.28,9.65,3.85,500.7966786251029,155.2440061569214,65.86873613426357,37.1525,56.40384525409776,2.5064935064935066
6.33,9.65,3.93,500.63383760925916,157.58595871925354,66.37158008316361,37.9245,57.13966723781563,2.455470737913486
6.41,9.52,3.95,500.6983809169682,159.8808012008667,67.21906439931101,37.604,55.94246265704561,2.410126582278481
6.45,9.49,3.97,499.7645748088414,162.18168926239014,67.51238179466945,37.6753,55.805022720994735,2.3904282115869018
6.5,9.32,4.05,500.6875341532447,164.4622447490692,68.16138118488799,37.746,55.377398966746064,2.301234567901235
6.56,9.42,4.06,500.79751444752264,166.7616057395935,68.80567359993694,38.2452,55.58436971691103,2.3201970443349755
10.96,5.48,7.44,501.4261058572535,169.0782392024994,115.10011086203318,40.77120000000001,35.4223811729175,0.7365591397849462
11.02,5.49,7.46,499.5050289129722,171.4879584312439,115.28683227790266,40.955400000000004,35.52478560715041,0.7359249329758714
10.98,5.47,7.44,500.8671107512107,173.85571789741516,115.1815985932304,40.6968,35.3327271865038,0.7352150537634408
10.95,5.55,7.38,500.8533885862072,176.1589150428772,114.86374778454359,40.958999999999996,35.65877031700994,0.7520325203252033
11.38,4.99,7.77,498.1351050186069,178.51761984825134,118.72649793912075,38.7723,32.65682107450119,0.6422136422136423
11.38,5.07,7.79,502.48308424461686,180.96202111244202,119.76280383568455,39.4953,32.977935331397084,0.6508344030808729
11.3,5.03,7.71,500.17704034905535,183.31899738311768,118.37512284366089,38.7813,32.76135987729349,0.6523994811932555
